date,sentiment,Adj Close,Week_Number,month,year
2018-06-29,1,68.58999633789062,26,6,2018
2018-07-03,1,62.172000885009766,27,7,2018
2018-07-05,1,61.832000732421875,27,7,2018
2018-07-06,-1,61.779998779296875,27,7,2018
2018-07-09,0,63.70199966430664,28,7,2018
2018-07-10,1,64.49400329589844,28,7,2018
2018-07-11,1,63.79199981689453,28,7,2018
2018-07-12,2,63.34199905395508,28,7,2018
2018-07-13,1,63.77399826049805,28,7,2018
2018-07-16,2,62.02000045776367,29,7,2018
2018-07-17,0,64.53800201416016,29,7,2018
2018-07-18,2,64.7699966430664,29,7,2018
2018-07-19,2,64.0459976196289,29,7,2018
2018-07-20,0,62.715999603271484,29,7,2018
2018-07-23,0,60.63999938964844,30,7,2018
2018-07-24,-1,59.486000061035156,30,7,2018
2018-07-25,4,61.74800109863281,30,7,2018
2018-07-26,0,61.33000183105469,30,7,2018
2018-07-27,1,59.43600082397461,30,7,2018
2018-07-31,0,59.62799835205078,31,7,2018
2018-08-01,0,60.167999267578125,31,8,2018
2018-08-02,2,69.90799713134766,31,8,2018
2018-08-03,3,69.63400268554688,31,8,2018
2018-08-06,1,68.39800262451172,32,8,2018
2018-08-07,6,75.91400146484375,32,8,2018
2018-08-08,-1,74.06800079345703,32,8,2018
2018-08-09,-3,70.48999786376953,32,8,2018
2018-08-10,3,71.0979995727539,32,8,2018
2018-08-13,-1,71.28199768066406,33,8,2018
2018-08-14,1,69.52799987792969,33,8,2018
2018-08-15,1,67.73799896240234,33,8,2018
2018-08-16,1,67.08999633789062,33,8,2018
2018-08-17,0,61.099998474121094,33,8,2018
2018-08-20,0,61.6879997253418,34,8,2018
2018-08-21,2,64.37999725341797,34,8,2018
2018-08-23,1,64.0199966430664,34,8,2018
2018-08-24,6,64.56400299072266,34,8,2018
2018-08-27,0,63.854000091552734,35,8,2018
2018-08-28,0,62.37200164794922,35,8,2018
2018-08-29,2,61.00199890136719,35,8,2018
2018-08-30,1,60.630001068115234,35,8,2018
2018-08-31,1,60.332000732421875,35,8,2018
2018-09-04,11,57.790000915527344,36,9,2018
2018-09-05,4,56.14799880981445,36,9,2018
2018-09-06,1,56.189998626708984,36,9,2018
2018-09-07,-2,52.64799880981445,36,9,2018
2018-09-10,3,57.099998474121094,37,9,2018
2018-09-11,0,55.88800048828125,37,9,2018
2018-09-12,2,58.108001708984375,37,9,2018
2018-09-13,1,57.891998291015625,37,9,2018
2018-09-14,1,59.040000915527344,37,9,2018
2018-09-17,3,58.96799850463867,38,9,2018
2018-09-18,3,56.992000579833984,38,9,2018
2018-09-19,4,59.80400085449219,38,9,2018
2018-09-20,2,59.66600036621094,38,9,2018
2018-09-21,1,59.81999969482422,38,9,2018
2018-09-24,0,59.93600082397461,39,9,2018
